valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
"Santiago de Cali ,",SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
Santiago de Cali|,SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
TULUA,TULUA,TULUA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
TULUA  VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
TULUA - VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
TULUÁ,TULUA,TULUA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
TULUÁ -VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
TULUÁ VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
TULUÁ-VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
Tulua - Valle Del Cauca,TULUA VALLE DEL CAUCA,TULUA VALLE DEL CAUCA,TULUA,76834,TULUÁ,VALLE DEL CAUCA,exact,99.00,AUTO_APROBADO,coincidencia exacta tras limpiar contexto/departamento,,,,,,,,,,,,
