nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA DE ANGELOPOLIS,ALCALDIA DE ANGELOPOLIS,publica,gov,ANGELÓPOLIS,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ANGOSTURA,ALCALDIA DE ANGOSTURA,publica,gov,ANGOSTURA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ANOLAIMA,ALCALDIA DE ANOLAIMA,publica,gov,ANOLAIMA,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE ANORI,ALCALDIA DE ANORI,publica,gov,ANORÍ,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ANSERMA CALDAS,ALCALDIA DE ANSERMA CALDAS,publica,gov,ANSERMA,CALDAS,NO APLICA,ACTIVA
ALCALDIA DE ANSERMANUEVO VALLE DEL CAUCA,ALCALDIA DE ANSERMANUEVO  VALLE DEL CAUCA,publica,gov,ANSERMANUEVO,VALLE DEL CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ANZA,ALCALDIA DE ANZA,publica,gov,ANZÁ,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ANZOATEGUI,ALCALDIA DE ANZOATEGUI,publica,gov,ANZOÁTEGUI,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE APARTADO,ALCALDIA DE APARTADO,publica,gov,APARTADÓ,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE APIA,ALCALDIA DE APIA,publica,gov,APÍA,RISARALDA,NO APLICA,ACTIVA
ALCALDIA DE APULO,ALCALDIA DE APULO,publica,gov,APULO,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE AQUITANIA,ALCALDIA DE AQUITANIA,publica,gov,AQUITANIA,BOYACÁ,NO APLICA,ACTIVA
ALCALDIA DE ARACATACA,ALCALDIA DE ARACATACA,publica,gov,ARACATACA,MAGDALENA,FUNCIÓN PÚBLICA,ACTIVA
ALCALDIA DE ARANZAZU,ALCALDIA DE ARANZAZU,publica,gov,ARANZAZU,CALDAS,NO APLICA,ACTIVA
ALCALDIA DE ARATOCA,ALCALDIA DE ARATOCA,publica,gov,ARATOCA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE ARAUCA,ALCALDIA DE ARAUCA,publica,gov,ARAUCA,ARAUCA,NO APLICA,ACTIVA
ALCALDIA DE ARAUQUITA,ALCALDIA DE ARAUQUITA,publica,gov,ARAUQUITA,ARAUCA,NO APLICA,ACTIVA
ALCALDIA DE ARBELAEZ,ALCALDIA DE ARBELAEZ,publica,gov,ARBELÁEZ,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE ARBOLEDA NARINO,ALCALDIA DE ARBOLEDA NARIÑO,publica,gov,ARBOLEDA,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE ARBOLEDAS,ALCALDIA DE ARBOLEDAS,publica,gov,ARBOLEDAS,NORTE DE SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE ARBOLETES,ALCALDIA DE ARBOLETES,publica,gov,ARBOLETES,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ARCABUCO,ALCALDIA DE ARCABUCO,publica,gov,ARCABUCO,BOYACÁ,NO APLICA,ACTIVA
ALCALDIA DE ARENAL,ALCALDIA DE ARENAL,publica,gov,ARENAL,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE ARGELIA ANTIOQUIA,ALCALDIA DE ARGELIA ANTIOQUIA,publica,gov,ARGELIA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ARGELIA CAUCA,ALCALDIA DE ARGELIA CAUCA,publica,gov,ARGELIA,CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ARGELIA VALLE DEL CAUCA,ALCALDIA DE ARGELIA VALLE DEL CAUCA,publica,gov,ARGELIA,VALLE DEL CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ARIGUANI,ALCALDIA DE ARIGUANI,publica,gov,ARIGUANÍ,MAGDALENA,NO APLICA,ACTIVA
ALCALDIA DE ARJONA,ALCALDIA DE ARJONA,publica,gov,ARJONA,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE ARMENIA ANTIOQUIA,ALCALDIA DE ARMENIA  ANTIOQUIA,publica,gov,ARMENIA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ARMENIA QUINDIO,ALCALDIA DE ARMENIA - QUINDIO,publica,gov,ARMENIA,QUINDÍO,NO APLICA,ACTIVA
ALCALDIA DE ARMERO GUAYABAL,ALCALDIA DE ARMERO GUAYABAL,publica,gov,ARMERO,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE ARROYOHONDO,ALCALDIA DE ARROYOHONDO,publica,gov,ARROYOHONDO,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE ASTREA,ALCALDIA DE ASTREA,publica,gov,ASTREA,CESAR,NO APLICA,ACTIVA
ALCALDIA DE ATACO,ALCALDIA DE ATACO,publica,gov,ATACO,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE ATRATO,ALCALDIA DE ATRATO,publica,gov,ATRATO,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE AYAPEL,ALCALDIA DE AYAPEL,publica,gov,AYAPEL,CÓRDOBA,NO APLICA,ACTIVA
ALCALDIA DE BAGADO,ALCALDIA DE BAGADO,publica,gov,BAGADÓ,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE BAHIA SOLANO,ALCALDIA DE BAHIA SOLANO,publica,gov,BAHÍA SOLANO,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE BAJO BAUDO PIZARRO,ALCALDIA DE BAJO BAUDO (PIZARRO),publica,gov,BAJO BAUDÓ,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE BALBOA CAUCA,ALCALDIA DE BALBOA CAUCA,publica,gov,BALBOA,CAUCA,NO APLICA,ACTIVA
ALCALDIA DE BALBOA RISARALDA,ALCALDIA DE BALBOA RISARALDA,publica,gov,BALBOA,RISARALDA,NO APLICA,ACTIVA
ALCALDIA DE BARANOA,ALCALDIA DE BARANOA,publica,gov,BARANOA,ATLÁNTICO,NO APLICA,ACTIVA
ALCALDIA DE BARAYA,ALCALDIA DE BARAYA,publica,gov,BARAYA,HUILA,NO APLICA,ACTIVA
ALCALDIA DE BARBACOAS,ALCALDIA DE BARBACOAS,publica,gov,BARBACOAS,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE BARBOSA ANTIOQUIA,ALCALDIA DE BARBOSA - ANTIOQUIA,publica,gov,BARBOSA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE BARBOSA SANTANDER,ALCALDIA DE BARBOSA  SANTANDER,publica,gov,BARBOSA,SANTANDER,NO APLICA,ACTIVA
