nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA DE AGUZAUL,False,,,,,,,
ALCALDIA DE AL CEJA TAMBO,False,,,,,,,
ALCALDIA DE ALCALDA,False,,,,,,,
ALCALDIA DE ALCALDE,False,,,,,,,
ALCALDIA DE ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALDIA DE ALCALDIA DE COPACABANA,False,,,,,,,
ALCALDIA DE ALCALDIA DE PAMPLONA,False,,,,,,,
ALCALDIA DE ALCALDIA DE VILLA DEL ROSARIO,False,,,,,,,
ALCALDIA DE ALCALDIA VILLA DEL ROSARIO,False,,,,,,,
ALCALDIA DE ALCALDIAS,False,,,,,,,
ALCALDIA DE ALPUJARRA TOLIMA,False,,,,,,,
ALCALDIA DE AMALFI,True,ALCALDIA DE AMALFI,publica,gov,AMALFI,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE AMBALEMA MUNICIPAL,False,,,,,,,
ALCALDIA DE ANGOSTURA,True,ALCALDIA DE ANGOSTURA,publica,gov,ANGOSTURA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ANTIOQUIA YONDO,False,,,,,,,
ALCALDIA DE AQUAZUL,False,,,,,,,
ALCALDIA DE ARACATACA,True,ALCALDIA DE ARACATACA,publica,gov,ARACATACA,MAGDALENA,FUNCIÓN PÚBLICA,ACTIVA
ALCALDIA DE ARACIAS,False,,,,,,,
ALCALDIA DE ARANZAZU,True,ALCALDIA DE ARANZAZU,publica,gov,ARANZAZU,CALDAS,NO APLICA,ACTIVA
ALCALDIA DE ARATOCA,True,ALCALDIA DE ARATOCA,publica,gov,ARATOCA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE ARBOLETES,True,ALCALDIA DE ARBOLETES,publica,gov,ARBOLETES,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ARIAGUANI,False,,,,,,,
ALCALDIA DE ARIGUANI,True,ALCALDIA DE ARIGUANI,publica,gov,ARIGUANÍ,MAGDALENA,NO APLICA,ACTIVA
ALCALDIA DE ARIGUANI MAGDALENA,False,,,,,,,
ALCALDIA DE ARIPORO CASANARE,False,,,,,,,
ALCALDIA DE ARIQUANI,False,,,,,,,
ALCALDIA DE ARJONA,True,ALCALDIA DE ARJONA,publica,gov,ARJONA,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE ARMENIA,False,,,,,,,
ALCALDIA DE ARMENIA QUINDIO,True,ALCALDIA DE ARMENIA - QUINDIO,publica,gov,ARMENIA,QUINDÍO,NO APLICA,ACTIVA
ALCALDIA DE ARMERIA,False,,,,,,,
ALCALDIA DE ARRANQUILLA,False,,,,,,,
ALCALDIA DE ASANTA MARTA,False,,,,,,,
ALCALDIA DE AURAMENA,False,,,,,,,
ALCALDIA DE B ALCALDIA DE BARRANQUILLA,False,,,,,,,
ALCALDIA DE BA,False,,,,,,,
ALCALDIA DE BANCO MAGDALENA,False,,,,,,,
ALCALDIA DE BARANOA,True,ALCALDIA DE BARANOA,publica,gov,BARANOA,ATLÁNTICO,NO APLICA,ACTIVA
ALCALDIA DE BARANOA ATLANTICO,False,,,,,,,
ALCALDIA DE BARANOA MUNICIPIO BARANOA ATLANTICO,False,,,,,,,
ALCALDIA DE BARANOA NIT,False,,,,,,,
ALCALDIA DE BARANQUILLA,False,,,,,,,
